ADDRESS,PROPERTY MANAGEMENT COMPANY,NOTES,BARCODE #,Price/month,Area,start up date,"STATUS- (ACTIVE, CANCELLED, ON HOLD)",KEYS,TEST DAY,ANNUAL,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25,,,,,
3475 Quadra Street,Thrifty Foods,"Invoice Monthly starting Apr. 1/21 @ $275 (no TC06)  
Inv.23885 - Mar.31/21 @ $55 + TC06",,$275.00,"Victoria, BC",20-Dec,ACTIVE,No Key,M3-R17,September,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,,,,,
349 Cook Street,AQP Property Management (was Burr),MBT only - Annual done by others,,$50.00,"Victoria, BC",Jan-23,ACTIVE,123,TU3-R18,June,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
350 Douglas Street,Starlight/Devon,,,$50.00,"Victoria, BC",,ACTIVE,442,TU3-R18,December,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,,,,,
360 Dallas Road,Complete Residenial Property Management,,,$60.00,"Victoria, BC",Sep-24,ACTIVE,SL 063,W3-R20,June,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,,,,,
360 Douglas Street,Starlight/Devon,,,$50.00,"Victoria, BC",,ACTIVE,442,TU3-R18,December,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,,,,,
360 Gorge Road E,Pacifica Housing,,,$65.00,"Victoria, BC",Aug-24,CANCELLED,G 063,-,,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
"3610 + 3614 Richmond Road &
1696 Pear Street ",Firm Management,,,$55.00,"Victoria, BC",20-May,ACTIVE,RG 0163,TH2-R23,May,Y,Y,Y,Y,Y,ANNUAL,Y,Y,X,Y,Y,Y,,,,,
364 Moss Street,Gibraltar Management Ltd.,,,$65.00,"Victoria, BC",Nov-23,ACTIVE,OS 463,TU2-R13,July,Y,Y,Y,Y,Y,ANNUAL,X,Y,Y,Y,Y,Y,,,,,
3724 Harriet Road,Proline Property Management Ltd.,,,$75.00,"Victoria, BC",Aug-25,ACTIVE,RH 4273,TU3-R19,April,-,-,-,-,-,-,-,Y,Y,Y,Y,Y,,,,,
3861 Shelbourne Street,Century 21 Queenswood,,,$50.00,"Saanich, BC",Jan-23,ACTIVE,172,TH2-R23,August,Y,Y,Y,Y,Y,X,ANNUAL,X,Y,Y,Y,Y,,,,,
3880 Shelbourne Street,Complete Residential,,,$55.00,"Saanich, BC",Jun-16,ACTIVE,TC 0883,TH2-R23,May,Y,Y,Y,Y,ANNUAL,X,Y,X,Y,Y,Y,Y,,,,,
3905 Quadra Street,Brown Bros.,,,$50.00,"Victoria, BC",,ACTIVE,402 (only key in R17 bag),M3-R17,November,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,,,,,
3914 Shelbourne Street,Devon Properties,,,$55.00,"Victoria, BC",Dec-23,ACTIVE,SB 4193,TH2-R23,September,Y,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,,,,,
3915 Carey Road,Firm Management,$65/month (A),,$65.00,"Saanich, BC",Jun-21,ACTIVE,"C 5193
K2",M2-R11,August,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,ANNUAL,,,,,
3949 Shelbourne Street,"HS Canada 3949 Shelbourne Street, L.P",,,$70.00,"Saanich, BC",Aug-23,ACTIVE,MS 9493,TH2-R23,December,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
3958 Cedar Hill Road,Firm Management,,,$50.00,"Saanich, BC",Dec-23,ACTIVE,HD 8593,TH2-R23,January,Y, ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
3962 Cedar Hill Road,Firm Management,,,$50.00,"Saanich, BC",Dec-23,ACTIVE,HD 8593,TH2-R23,January,ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
4026 Quadra Street,Starlight/Devon,,,$55.00,"Victoria, BC",Dec-24,ACTIVE,DQ 6204,W1-R6,July,Y,Y,Y,Y,Y,X,ANNUAL,Y,Y,Y,Y,Y,,,,,
4030 Shelbourne Street,Pemberton Holmes Ltd.,,,$75.00,"Victoria, BC",Jun-25,ACTIVE,HS 0304,TH2-R23,May,-,-,-,-,-,Y,X,X,X,Y,Y,Y,,,,,
4036 Quadra Street,Devon Properties,,,$55.00,"Victoria, BC",Nov-24,ACTIVE,DQ 6304,W1-R6,May,Y,Y,Y,Y,ANNUAL,X,X,X,Y,Y,Y,Y,,,,,
4038 Quadra Street,Devon Properties,,,$55.00,"Victoria, BC",Nov-24,ACTIVE,DQ 6304,W1-R6,May,Y,Y,Y,Y,ANNUAL,X,X,X,Y,Y,Y,Y,,,,,
404 Dundas Street,Devon Properties,,,$50.00,"Victoria, BC",Jan-23,ACTIVE,145,W1-R7,June,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,X,,,,,
404 Linden Avenue,Steve Calder,,,$65.00,"Victoria, BC",Feb-24,ACTIVE,ND 404,TU2-R13,June,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,,,,,
410 Garbally Road                                         ,Richmond Property Group,,,$55.00,"Victoria, BC",Jan-16,ACTIVE,EF 014,TU3-R19,June,X,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,,,,,
4144 Wilkinson Road,Colliers,"PO Required
$55/month",,$55.00,"Saanich, BC",Dec-20,ACTIVE,WP 4414,M2-R11,November,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,ANNUAL,Y,,,,,
415 Dunedin Avenue,Richmond Property Group,,,$55.00,"Victoria, BC",Jan-16,ACTIVE,EF 014,TU3-R19,June,X,Y,Y,X,Y,Y,ANNUAL,Y,Y,Y,Y,Y,,,,,
415 Linden Avenue,Gibraltar Management Ltd.,,,$55.00,"Victoria, BC",,ACTIVE,"R 514
K2",M1-R2,November,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
415 Michigan Street,Starlight/Devon,"$55/month 
PO 700000",,$55.00,"Victoria, BC",Dec-15,ACTIVE,"U 514
K3",W3-R20,September,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,,,,,
420 Catherine Street,Pemberton Holmes,,,$50.00,"Victoria, BC",Jan-23,ACTIVE,104,W1-R7,February,Y,Y,ANNUAL,Y,Y,Y,X,Y,Y,Y,Y,X,,,,,
420 Parry Street,Firm Management,Cancelled on June 2025 - R20,,$55.00,"Victoria, BC",,CANCELLED,"ET 024
K1-F1",-,October,Y,Y,Y,Y,Y,-,-,-,-,-,-,-,,,,,
421 Vancouver Street,Bross Holdings,,,$55.00,"Victoria, BC",Feb-25,ACTIVE,VV 124,TU3-R18,June,X,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,,,,,
423 Superior Street,Pacific Quorum,,,$50.00,"Victoria, BC",,ACTIVE,119,M1-R2,March,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,,,,,
4230 Commerce Circle,Newport Property management,NEW Jan/24,,$65.00,"Victoria, BC",02-Jan,ACTIVE,NO KEYS,TU1-R4,July,Y,Y,Y,Y,Y,Y & ANNUAL,Y,Y,Y,Y,Y,Y,,,,,
425 Michigan Street ,Starlight Properties c/o Devon Properties Ltd.,,,$65.00,"Victoria, BC",Jun-25,ACTIVE,CG 524,W3-R20,October,-,-,-,-,-,Y,Y,Y,Y,ANNUAL,Y,Y,,,,,
425 Wilson Street,Century 21 Queenswood,,,$50.00,"Victoria, BC",Jan-23,ACTIVE,169,W1-R7,September,Y,X,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,X,,,,,
429 Linden Avenue,Gibraltar now Colyvan Pacific,,,$50.00,"Victoria, BC",Jan-23,ACTIVE,61,TU2-R13,April,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,,,,,
435 Michigan Street,Starlight/Devon,,,$55.00,"Victoria, BC",Dec-15,ACTIVE,"V 534
K2",W3-R20,July,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,,,,,
4398 W. Saanich Rd,Devon Properties,,,$50.00,"Saanich, BC",Jan-23,ACTIVE,370,TU1-R4,September,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,,,,,
440 Parry Street,Oakwood Properties,,,$55.00,"Victoria, BC",Apr-23,ACTIVE,RS 044,W3-R20,April,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
4420 Chatterton Way,Colliers,"PO Required
$55/month. Panel replaced in June 25. 3 free months after June 2025",,$55.00,"Saanich, BC",Jun-19,ACTIVE,CW 0244,TU1-R4,April,Y,Y,Y,ANNUAL,Y,Y,Y,X,Y,Y,Y,Y,,,,,
4420 West Saanich Road,IIBG DBA COUNTRY GROCER [4420 WEST SAANICH],,,$55.00,"Saanich, BC",May-20,ACTIVE,No Key,TU1-R4,April,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
4480 Chatterton Way,Cornerstone,$175/mth total for 5 building. 1/5,,$35.00,"Saanich, BC",Mar-21,ACTIVE,"BT 4944
[K7]",TU1-R4,November,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,,,,,
4484 Chatterton Way,Cornerstone,$175/mth total for 5 building. 2/5,,$35.00,"Saanich, BC",Mar-21,ACTIVE,"BT 4944
[K7]",TU1-R4,November,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,,,,,
4488 Chatterton Way,Cornerstone,$175/mth total for 5 building. 3/5,,$35.00,"Saanich, BC",Mar-21,ACTIVE,"BT 4944
[K7]",TU1-R4,November,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,,,,,
4490 Chatterton Way,Cornerstone,$175/mth total for 5 building. 4/5,,$35.00,"Saanich, BC",Mar-21,ACTIVE,"BT 4944
[K7]",TU1-R4,November,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,ANNUAL,Y,,,,,
4494  Chatterton Way,Cornerstone,$175/mth total for 5 building. 5/5,,$35.00,"Saanich, BC",Mar-21,ACTIVE,"BT 4944
[K7]",TU1-R4,November,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,,,,,
465 Niagara Street,Devon Properties,,,$50.00,"Victoria, BC",,ACTIVE,120,M1-R2,February,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
4678 Elk Lake Drive,Complete Residential,Building A,,$55.00,"Saanich, BC",24-Jan,ACTIVE,KL 8764,TU2-R12,November,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,,,,,
4678 Elk Lake Drive,Complete Residential,Building B,,$55.00,"Saanich, BC",24-Jan,ACTIVE,KL 8764,TU2-R12,November,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,,,,,
4678 Elk Lake Drive,Complete Residential,Building C,,$55.00,"Saanich, BC",24-Jan,ACTIVE,KL 8764,TU2-R12,November,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,,,,,
4678 Elk Lake Drive,Complete Residential,Building D,,$55.00,"Saanich, BC",24-Jan,ACTIVE,KL 8764,TU2-R12,November,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,,,,,
4678 Elk Lake Drive,Complete Residential,Building E,,$55.00,"Saanich, BC",24-Jan,ACTIVE,KL 8764,TU2-R12,November,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,,,,,
470 Belleville Street,Equitex Realty Ltd.,,,$55.00,"Victoria, BC",Nov-12,ACTIVE,"TB 074
K3",W3-R20,July,X,X,X,X,Y,Y,Y,Y,Y,X,Y,Y,,,,,
493 Burnside Road East,Devon Properties,,,$55.00,"Victoria, BC",Apr-25,ACTIVE,SB 394,TU3-R19,January,-,-,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
500 Fort Street,The Keg (Says Crest on ST),,,$55.00,"Victoria, BC",-,ACTIVE,-,TH2-R15,June,X,X,X,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,,,,,
500 Rithet Street,Belmont Properties,Months on invoices ,,$60.00,"Victoria, BC",Apr-23,ACTIVE,"443 
(Ring 3) ",W3-R20,January,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,,,,,
502 Dallas Road,Brown Bros.,,,$55.00,"Victoria, BC",,ACTIVE,"CT 205
K3",W3-R20,May,Y,Y,Y,Y,X,ANNUAL,Y,Y,Y,Y,Y,Y,,,,,
505 Quadra Street,Surfside Holdings Ltd. (Analogue Projects),Credit from QB $189. Apply to Q4 2025,,$60.00,"Victoria, BC",May-23,ACTIVE,QB 505,M2-R11,May,Y,Y,Y,X,Y,ANNUAL,Y,Y,Y,Y,Y,Y,,,,,
505 Su'it Street,Devon Properties,Formerly 505 Trutch,,$50.00,"Victoria, BC",Jan-23,ACTIVE,148,TH1-R9,February,Y,Y,Y,ANNUAL,Y,Y,Y,X,Y,Y,Y,Y,,,,,
506 Fort Street,Homesphere Properties ,,,$50.00,"Victoria, BC",,ACTIVE,383,TH2-R15,August,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,,,,,
507 Government Street,The Garth Homer Society,,,$65.00,"Victoria, BC",Nov-24,ACTIVE,No Keys,W3-R20,August,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,,,,,
508 Toronto Street,AQP Management,Deactivate Oct 31/25 -  Changed to AQP Management in April 2025,,$50.00,"Victoria, BC",Jan-23,CANCELLED,152,-,June,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,-,,,,,
5100 Pat Bay Highway,Victoria Rowing Society,,,$55.00,"Saanich, BC",Dec-21,ACTIVE,"VC 0015
[K1]",TU2-R12,July,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,,,,,
516 Quadra Street,Douglas Mgmt Corp. (was Hugh & McKinnon - but same owner),,,$55.00,"Victoria, BC",Nov-22,ACTIVE,"HA 615
K3",M1-R2,March,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
517 Fisgard Street & 528 Pandora Avenue,Proline,cancelled service- Oct 8/24 (tw),,$55.00,"Victoria, BC",Sep-18,CANCELLED,YZ 715,-,September,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
520 Cook Street,Newport ,,,$50.00,"Victoria, BC",,ACTIVE,423,TH1-R9,February,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
520 Rithet Street,Newport Property management,,,$50.00,"Victoria, BC",,ACTIVE,403,M1-R2,January,ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
524 Culduthel Road,Devon Properties,,,$55.00,"Saanich, BC",Sep-24,ACTIVE,C425,M1-R1,July,X,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,,,,,
531 West Bay Terrace,Starlight Properties c/o Devon Properties Ltd.,"May 2025 PO 1367338
June 2025PO 1367341",,$65.00,"Victoria, BC",May-25,ACTIVE,BW 135,W1-R7,December,-,-,-,-,Y,Y,Y,Y,Y,Y,Y,ANNUAL,,,,,
532 & 536 Herald Street,Belmont Properties,Months on invoice,,$55.00,"Victoria, BC",Jan-23,ACTIVE,179,TH3-R21,May,Y,Y,X,X,X,ANNUAL,Y,Y,Y,Y,Y,Y,,,,,
5332 Sayward Hill Crescent ,Firm Management,Credit from QB $34.07. Apply to Q4 2025,,$55.00,"Saanich, BC",Dec-24,ACTIVE,WS 2335,TU2-R12,September,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,,,,,
539-545 Fisgard Street,Servissio,,,$70.00,"Victoria, BC",Apr-23,ACTIVE,FA 935,TH3-R21,January,ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
540 Pandora Avenue,Pemberton Holmes,,,$65.00,"Victoria, BC",Nov-23,ACTIVE,DR 045,TH3-R21,August,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,,,,,
540 West Bay Terrace,Devon Properties,,,$65.00,"Esquimalt, BC",Jun-24,ACTIVE,YB 045,W1-R7,March,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,,,,,
545 Johnson Street,Devon Properties,,,$50.00,"Victoria, BC",Jan-23,ACTIVE,401,TH3-R21,January,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
546 Pandora Avenue,Servissio,Approved Dec/23,,$70.00,"Victoria, BC",Dec-23,ACTIVE,HD 645,TH3-R21,October,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
55 Songhees Road                                 ,Brown Bros.,,,$55.00,"Esquimalt, BC",,ACTIVE,AB 55,W1-R7,October,Y,X,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,X,,,,,
553/563 Johnson Street,Devon Properties,,,$50.00,"Victoria, BC",Jan-23,ACTIVE,400*,TH3-R21,March,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
556 Herald Street,Devon Properties,,,$50.00,"Victoria, BC",Jan-23,ACTIVE,381,TH3-R21,March,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
565 Manchester Road,Belmont Properties,"$50/m for 2024
Belmont sold - effective end of day September 6/24-tw)",,$50.00,"Victoria, BC",Apr-23,CANCELLED,455,-,January,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
565 Toronto Street,Devon Properties,,,$55.00,"Victoria, BC",Jul-24,ACTIVE,TN 565,W3-R20,March,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
60 Dallas Road,South Island Property Mgmt,,,$55.00,"Victoria, BC",Mar-13,ACTIVE,"FT 06
K10",W3-R20,July,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,,,,,
600 Douglas Street,Nexcan Enterprises,,,$85.00,"Victoria, BC",Jun-23,ACTIVE,N/A,M2-R11,October,Y,Y,Y,X,Y,Y,Y,Y,Y,ANNUAL,Y,Y,,,,,
600 Richmond Road,St. Matthias Angelican Church,,,$55.00,"Victoria, BC",Apr-23,ACTIVE,MC006,M2-R11,March,Y,Y,Y,ANNUAL,Y,Y,Y,Y,X,X,Y,Y,,,,,
601 Canteen Road,Township of Esquimalt,,,$65.00,"Esquimalt, BC",Feb-24,ACTIVE,N/A,W1-R7,September,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,,,,,
605 Cook Street                                                              ,Brown Bros.,,,$55.00,"Victoria, BC",,ACTIVE,"N 506
K3",TH1-R9,July,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,,,,,
612 Goldstream Avenue,Pacifica Housing,,,$65.00,"Langford, BC",Aug-24,ACTIVE,G 216,TU1-R5,October,X,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,,,,,
614 Esquimalt Road,Horizon Contracting Ltd,,,$65.00,"Victoria, BC",May-25,ACTIVE,QS 416,W1-R7,April,-,-,-,ANNUAL,Y,Y,Y,Y,Y,Y,Y,X,,,,,
616 Goldstream Avenue,Pacifica Housing,,,$65.00,"Langford, BC",Aug-24,ACTIVE,G 216,TU1-R5,October,X,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,,,,,
620 View Street,Equitex,$65 noted starting April 2025. Previously $50 - Not really sure when it changed,,$65.00,"Victoria, BC",,ACTIVE,N/A,M1-R2,March,Y,Y,Y,ANNUAL,X,Y,Y,Y,Y,Y,Y,Y,,,,,
622 Admirals Road,Chartwell Retirement Residences,Keys returned November 2025,,$125.00,"Victoria, BC",Jan-25,CANCELLED,DA 226,-,May,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,-,-,,,,,
623 Fort Street,Fort Street Properties  (Colliers),,,$50.00,"Victoria, BC",Jan-23,ACTIVE,"FS 326
[K1]",TH2-R15,March,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
625 Fernhill Road,Belmont Properties,"
$50/m for 2024
$55 after June 2025",,$55.00,"Esquimalt, BC",Apr-23,ACTIVE,448,W1-R7,March,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,X,,,,,
625 Hillside Avenue,Devon,Keys delivered May 2025,,$50.00,"Victoria, BC",,CANCELLED,436,-,January,Y,Y,X,ANNUAL,-,-,-,-,-,-,-,-,,,,,
635 Battery Street,Newport Property Management,,,$50.00,"Victoria, BC",,ACTIVE,343,M1-R2,November,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,,,,,
636 Dallas Road,Devon Properties,,,$55.00,"Victoria, BC",Mar-25,ACTIVE,LD 636,M1-R2,April,X,X,Y,Y,X,ANNUAL,Y,Y,Y,Y,Y,Y,,,,,
636 Fisgard Street,Vic Chinese School,"$55/month
no testing in July or August as school is closed",,$55.00,"Victoria, BC",,ACTIVE,KEY AT SITE,TH3-R21,May,X,Y,X,X,Y,ANNUAL,X,X,Y,Y,Y,X,,,,,
640 Michigan Street,Tribe Management Inc ,,,$75.00,"Victoria, BC",Jan-25,ACTIVE,SM 046,W3-R20,November,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
644 Linden Avenue,Brown Bros.,,,$50.00,"Victoria, BC",23-Sep,CANCELLED,BL 446,-,August,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
645 Fort Street,Newport Property,,,$50.00,"Victoria, BC",Jan-23,ACTIVE,N/A,TH2-R15,May,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,,,,,
650 View Street,Servissio,"(includes 658 View, 1203 & 1205 Broad)",,$55.00,"Victoria, BC",Nov-20,ACTIVE,"FB 056
K2",TH2-R15,October,Y,Y,Y,Y,Y,X,Y,X,X,X,X,ANNUAL,,,,,
651 Jolly Place,Cornerstone,,,$55.00,"Victoria, BC",Sep-20,ACTIVE,JP 156,TU1-R4,January,Y,ANNUAL,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,,,,,
654 Granderson Road,Pemberton Holmes - Residential,,,$65.00,"Victoria, BC",Jul-25,ACTIVE,GD 456,TU1-R5,July,-,-,-,-,-,ANNUAL,Y,Y,Y,Y,Y,Y,,,,,
655 Douglas Street,Concert Properties,,,$60.00,"Victoria, BC",May-23,ACTIVE,QA 556,TU3-R18,April,Y,ANNUAL,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,,,,,
655 Herald Street                     ,Brown Bros.,,,$55.00,"Victoria, BC",,ACTIVE,"CW 556
K1-F2",TH3-R21,September,Y,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,,,,,
663 Goldstream Avenue,Proline,$65/month (A),,$65.00,"Langford, BC",Jan-21,ACTIVE,"MPW 366
K8-G1",TU1-R5,June,X,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,,,,,
6649 Butler Cresecent,TPM Properties,$65/month (A),,$65.00,"Saanichton, BC",Aug-21,ACTIVE,BB 9466,TU2-R12,June,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,,,,,
670 Dallas Road,Proline,,,$55.00,"Victoria, BC",Restart Nov/22,ACTIVE,"O 076
K2-F1",W3-R20,July,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,,,,,
6772 Oldfield Road,Capital West,"PO Required
$60/month",,$60.00,"Saanichton, BC",Sep-24,ACTIVE,OF 2776,TU2-R12,December,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,,,,,
6776 Oldfield Road,Capital West,"PO Required
$60/month",,$60.00,"Saanichton, BC",Sep-24,ACTIVE,OF 2776,TU2-R12,December,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,,,,,
681 Allandale Road,Sherringham Holdings,Building B,,$55.00,"Langford, BC",Jun-24,ACTIVE,AR 186,TU1-R5,December,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,,,,,
681 Allandale Road,Sherringham Holdings,Building C,,$55.00,"Langford, BC",Jun-24,ACTIVE,AR 186,TU1-R5,December,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,,,,,
681 Allandale Road,Sherringham Holdings,Building D,,$55.00,"Langford, BC",Jun-24,ACTIVE,AR 186,TU1-R5,December,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,,,,,
681 Allandale Road,Sherringham Holdings,Building E,,$55.00,"Langford, BC",Jun-24,ACTIVE,AR 186,TU1-R5,December,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,,,,,
703 Broughton Street,Devon Properties,"single panel share with 933 Douglas Street. Effective April 2025, managed by Devon",,$65.00,"Victoria, BC",,ACTIVE,"H 307
K4",TH2-R15,November,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,,,,,
7088 Wallace Drive,Capital West,,,$60.00,"Saanich, BC",Mar-24,ACTIVE,VB 8807,TU2-R12,February,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
709-715 Yates Street,Churchill on Yates GP C/O Daniel Belanger,,,$55.00,"Victoria, BC",Sep-16,ACTIVE,"R 527
K6-F1",TH2-R15,January,ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,,,,,
710 Fort Street,Ritz Hotel -Arpeg Group of Companies,,,$55.00,"Victoria, BC",Jun-12,ACTIVE,MEET KEN COOPER,TH2-R15,April,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,,,,,
710 Redbrick Street                                            ,710 Redbrick Joint Venture,,,$55.00,"Victoria, BC",Aug-15,ACTIVE,NO 017,TU3-R19,July,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,,,,,
711 Hillside Avenue,Pacific Cove Property Management Ltd.,,,$65.00,"Victoria, BC",Jun-25,ACTIVE,HD 117,TU3-R19,March,-,-,-,-,-,Y,Y,Y,Y,X,Y,Y,,,,,
712 Yates Street,Concert Realty Services Ltd.,"PO Required
$55/month",,$55.00,"Victoria, BC",Jan-14,ACTIVE,"LW 217
K2-F1",TH3-R21,September,Y,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,,,,,
7161 West Saanich Road,Cornerstone,$65/month (A),,$65.00,"Brentwood Bay, BC",May-21,ACTIVE,BPV 1617,TU2-R12,June,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,,,,,
719-725 Yates Street,PCPM as Agent for the Churchill on Yates,,,$55.00,"Victoria, BC",,ACTIVE,"R 527
K6-F1",TH2-R15,January,ANNUAL,Y,Y,Y,Y,Y,Y,X,X,X,Y,Y,,,,,
720 Vancouver Street,Century 21 Queenswood,,,$50.00,"Victoria, BC",Jan-23,ACTIVE,69,TH1-R9,January,Y & ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
722 Johnson Street,722 Johnson Street Joint Venture  ,,,$65.00,"Victoria, BC",Nov-23,ACTIVE,JS 227,TH3-R21,November,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,,,,,
